Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end
ToDelete - DAY6025 ~ Days Inn - Lubbock ~ REPID11,6025 Avenue A,Lubbock,TX,79404-5109,33.53757,-101.84193,30,8:00,17:00
ToDelete - BAY1005 ~ Baymont Inn - Snyder ~ REPID11,1005 E US 180,Snyder,TX,79549,32.70612,-100.86687,30,8:00,17:00
ToDelete - MID6101 ~ Midland Country Club ~ REPID11,6101 N State Highway 349,Midland,TX,79705-2022,32.0641,-102.09536,30,8:00,17:00
ToDelete - SUP4005 ~ Super 8 - Plainview ~ REPID11,4005 Olton Rd,Plainview,TX,79072-5828,34.18724,-101.7515,30,8:00,17:00
ToDelete - DEN2200N ~ Denny's #6216 - Roswell ~ REPID11,2200 N Main St,Roswell,NM,88201-6451,33.41889,-104.52354,30,8:00,17:00
ToDelete - LAQ1102 ~ La Quinta - Big Spring ~ REPID11,1102 W Interstate 20,Big Spring,TX,79720-0008,32.26346,-101.49619,30,8:00,17:00
ToDelete - UNILUBBOCK ~ Lubbock Christian University - Aramark ~ REPID11,5601 19th St,Lubbock,TX,79407,33.57769,-101.93472,30,8:00,17:00
ToDelete - UNIHARDIN ~ Ara Hardin Simmons University ~ REPID11,2200 Hickory St,Abilene,TX,79601,32.47507,-99.73255,30,8:00,17:00
ToDelete - ARA1107 ~ Aramark Sul Ross University ~ REPID11,1107 E Avenue B University Ctr,Alpine,TX,79832-0001,30.36188,-103.65147,30,8:00,17:00
ToDelete - UNICOLLEGE ~ College Cafe West TX A&M ~ REPID11,23rd and 2nd Ave,Canyon,TX,79016,34.98202,-101.9193,30,8:00,17:00
ToDelete - HAM3607 ~ Hampton Inn & Suites - Roswell ~ REPID11,3607 N Main St,Roswell,NM,88201-9774,33.44176,-104.52244,30,8:00,17:00
ToDelete - GRE5317 ~ Great Western Dining NMJC ~ REPID11,5317 N Lovington Hwy,Hobbs,NM,88240-9121,32.75781,-103.18427,30,8:00,17:00
