Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end,
ToDelete - ECO124 ~ EconoLodge -Villa Rica ~ REPID3502,124 Highway 61 Connector,Villa Rica,GA,30180-2300,33.68964,-84.94789,30,8:00,17:00,
ToDelete - DAY246 ~ Days Inn ~ REPID3502,246 hwy 49 N.,Byron,GA,31008,32.61952,-83.78884,30,8:00,17:00,
ToDelete - HIL951 ~ Hilltop Garden inn ~ REPID3502,951 Hwy 42 North,Forsyth,GA,31029,33.00763,-83.94099,30,8:00,17:00,
ToDelete - AME1344 ~ Americas Best Value Inn ~ REPID3502,1344 Highway 29 S,Newnan,GA,30263-5293,33.32804,-84.77931,30,8:00,17:00,
ToDelete - SPR100 ~ Spring Harbor ~ REPID3502,100 Spring Harbor Drive,Columbus,Ga,31904,32.55206,-84.99854,30,8:00,17:00,
ToDelete - SUP869 ~ Super 8 - Dalton ~ REPID3502,869 College Dr,Dalton,GA,30720-1300,34.76401,-85.00391,30,8:00,17:00,
ToDelete - SUP5400A ~ Super 8 - Ringgold ~ REPID3502,5400 Alabama Hwy,Ringgold,GA,30736-2448,34.91321,-85.12563,30,8:00,17:00,
ToDelete - WEL146 ~ Wellstar Paulding Hospital ~ REPID3502,2518 Jimmy Lee Smith Pkwy,Hiram,GA,30141,33.90071,-84.78151,30,8:00,17:00,
ToDelete - PLA500 ~ Planterra Ridge Golf Club ~ REPID3502,500 Clubhouse Dr,Peachtree City,GA,30269-1930,33.37031,-84.58427,30,8:00,17:00,
ToDelete - HOM1664 ~ Home2 Suites - Columbus ~ REPID3502,1664 Whittlesey Rd,Columbus,GA,31904-3646,32.53725,-84.96841,30,8:00,17:00,
ToDelete - ECO4483 ~ Econolodge - Columbus ~ REPID3502,4483 Victory Dr,Columbus,GA,31903-4159,32.40597,-84.92845,30,8:00,17:00,
ToDelete - TRI700 ~ Trinity Services Group ~ REPID3502,700 10th  St.,Columbus,GA,31901,32.46387,-84.98411,30,8:00,17:00,
ToDelete - MAR800F ~ Marriott Hotel - Columbus ~ REPID3502,800 Front Ave,Columbus,GA,31901-2749,32.46222,-84.99396,30,8:00,17:00,
ToDelete - WGA-DEN288 ~ Denny's #8564-RESACA ~ REPID3502,288 Resaca Beach Blvd.,resaca,GA,30735,34.57681,-84.94749,30,8:00,17:00,
ToDelete - WGA-DEN1328 ~ Denny's #6650-VALDOSTA ~ REPID3502,1328 ST AUGUSTINE RD,VALDOSTA,GA,31602,30.84316,-83.32881,30,8:00,17:00,
ToDelete - WGA-DEN309 ~ Denny's #7516-BYRON ~ REPID3502,309 GEORGIA HWY 49 N,BYRON,GA,31008,32.66213,-83.7414,30,8:00,17:00,
ToDelete - WGA-DEN3239 ~ Denny's #7075-COLUMBUS ~ REPID3502,3239 MACON RD,COLUMBUS,GA,31907,32.4903,-84.91989,30,8:00,17:00,
ToDelete - WGA-DEN2115 ~ Denny's #6484-CORDELE ~ REPID3502,2115 E 16TH AVE,CORDELE,GA,31015,31.95976,-83.74809,30,8:00,17:00,
ToDelete - WGA-DEN1125 ~ Denny's #2326-JACKSON ~ REPID3502,1125 BUCKSNORT ROAD,JACKSON,GA,30233,33.20739,-84.06432,30,8:00,17:00,
ToDelete - WGA-DEN7001 ~ Denny's #8710-LAKE PARK ~ REPID3502,7001 LAKE PARK - BELLVILLE RD,LAKE PARK,GA,31636,30.64672,-83.18571,30,8:00,17:00,
ToDelete - HOW790 ~ Howard Johnson -Dalton ~ REPID3502,790 College Dr,Dalton,GA,30720-3782,34.76511,-85.00464,30,8:00,17:00,
ToDelete - BUD2566 ~ Howard Johnson ~ REPID3502,2566 Riverside Dr,Macon,GA,31204-1546,32.87084,-83.66175,30,8:00,17:00,
ToDelete - OCH707 ~ O'Charleys ~ REPID3502,707 Turner McCall Blvd NE,Rome,GA,30165-5628,34.2611,-85.17287,30,8:00,17:00,
